altitude,latitude,longitude,position_covariance_type,service,status,Time (s)
8.00360387564,1.26613618574,103.788584092,2,5,2,1726754768.5
8.00907781627,1.26613515334,103.788585735,2,5,2,1726754768.55
8.00540157966,1.26613411861,103.788587386,2,5,2,1726754768.6
8.00698708463,1.2661330786,103.788589068,2,5,2,1726754768.64
7.99907828309,1.26613204203,103.788590756,2,5,2,1726754768.69
7.99831101671,1.2661309894,103.788592447,2,5,2,1726754768.74
7.99964955635,1.26612996,103.78859409,2,5,2,1726754768.8
8.00172966253,1.26612892432,103.788595754,2,5,2,1726754768.84
8.0047250269,1.26612788483,103.788597449,2,5,2,1726754768.89
8.00392388832,1.26612683116,103.78859918,2,5,2,1726754768.95
8.00399990752,1.26612579887,103.788600852,2,5,2,1726754769.03
8.00223922171,1.26612474623,103.788602533,2,5,2,1726754769.04
8.00558816548,1.26612153957,103.788607642,2,5,2,1726754769.21
8.00900919363,1.2661204858,103.788609341,2,5,2,1726754769.24
8.01260667946,1.2661194259,103.788611024,2,5,2,1726754769.29
8.01194028091,1.2661183532,103.788612744,2,5,2,1726754769.35
8.00810547452,1.26611727733,103.788614485,2,5,2,1726754769.41
8.01285523735,1.26611618728,103.78861621,2,5,2,1726754769.45
8.00534250122,1.266115348,103.788618162,2,5,2,1726754769.49
8.00051790662,1.26611426469,103.788619853,2,5,2,1726754769.54
8.0018641511,1.26611317822,103.788621573,2,5,2,1726754769.6
8.00435408112,1.26611208352,103.788623329,2,5,2,1726754769.64
8.00294411089,1.26611099289,103.78862504,2,5,2,1726754769.69
8.0017334763,1.26610989438,103.788626808,2,5,2,1726754769.74
8.00386687182,1.26610878477,103.788628561,2,5,2,1726754769.79
8.00460170209,1.26610763707,103.788630316,2,5,2,1726754769.84
8.0094067296,1.26610649361,103.788632057,2,5,2,1726754769.89
8.00152835529,1.26610534029,103.788633787,2,5,2,1726754769.94
8.00494985282,1.26610424136,103.788635509,2,5,2,1726754770.02
8.00087959319,1.26610310784,103.788637243,2,5,2,1726754770.04
8.00292280689,1.26610196522,103.788638996,2,5,2,1726754770.09
7.99874212313,1.26610081193,103.788640737,2,5,2,1726754770.15
7.99865677115,1.26609966146,103.788642485,2,5,2,1726754770.2
8.00069132354,1.26609846939,103.788644234,2,5,2,1726754770.24
7.99875740334,1.26609730547,103.788645976,2,5,2,1726754770.3
7.997266558,1.2660961223,103.788647736,2,5,2,1726754770.35
8.00419828203,1.26609495163,103.788649491,2,5,2,1726754770.4
8.0036099283,1.26609379468,103.788651241,2,5,2,1726754770.45
8.00349701941,1.26609261657,103.788653004,2,5,2,1726754770.51
7.97060454916,1.26609152506,103.788654908,2,5,2,1726754770.57
7.97401257697,1.26609033818,103.788656667,2,5,2,1726754770.59
7.97364318836,1.2660891253,103.788658424,2,5,2,1726754770.64
7.96519169398,1.26608794511,103.788660195,2,5,2,1726754770.7
7.96600883268,1.26608676992,103.788661969,2,5,2,1726754770.74
7.96802894585,1.26608559833,103.788663763,2,5,2,1726754770.8
7.97070276737,1.26608441135,103.788665575,2,5,2,1726754770.84
7.97168842983,1.26608322167,103.788667376,2,5,2,1726754770.89
7.97203325853,1.26608200858,103.788669171,2,5,2,1726754770.94
7.96208323352,1.26608080875,103.788670982,2,5,2,1726754771.02
7.95384256635,1.26607962274,103.788672799,2,5,2,1726754771.04
7.9567921469,1.26607845485,103.788674628,2,5,2,1726754771.09
7.96018425468,1.26607727058,103.788676438,2,5,2,1726754771.14
7.95852146205,1.26607607298,103.788678289,2,5,2,1726754771.19
7.9597112909,1.26607485832,103.788680138,2,5,2,1726754771.24
7.95279457886,1.26607364149,103.788681988,2,5,2,1726754771.29
7.92755743768,1.26607247679,103.788683865,2,5,2,1726754771.34
7.92894495372,1.26607127069,103.788685702,2,5,2,1726754771.39
7.92986634746,1.26607008768,103.788687531,2,5,2,1726754771.44
7.92842784617,1.26606889245,103.788689351,2,5,2,1726754771.49
7.92431421671,1.26606768782,103.78869124,2,5,2,1726754771.54
7.92460916564,1.26606647371,103.78869312,2,5,2,1726754771.59
7.91759036481,1.26606526266,103.788694994,2,5,2,1726754771.64
7.91374502331,1.26606403651,103.788696876,2,5,2,1726754771.69
7.90657352749,1.26606280633,103.788698731,2,5,2,1726754771.74
7.91026585922,1.26606160182,103.788700609,2,5,2,1726754771.79
7.91224696301,1.26606039276,103.788702514,2,5,2,1726754771.83
7.90814818069,1.2660591828,103.788704388,2,5,2,1726754771.9
7.90717539936,1.2660579575,103.788706274,2,5,2,1726754771.95
7.90281585511,1.26605671767,103.788708159,2,5,2,1726754772.03
7.90198044106,1.26605545662,103.788710058,2,5,2,1726754772.04
7.90364896506,1.26605423753,103.788711951,2,5,2,1726754772.09
7.89845104236,1.2660529997,103.788713855,2,5,2,1726754772.16
7.90090949461,1.26605178737,103.788715776,2,5,2,1726754772.21
7.89929626044,1.26605054007,103.78871773,2,5,2,1726754772.24
7.88474891055,1.26604928673,103.788719676,2,5,2,1726754772.29
7.88590302598,1.26604804219,103.788721585,2,5,2,1726754772.34
7.87909575086,1.26604679271,103.788723542,2,5,2,1726754772.39
7.87111086585,1.26604556418,103.788725503,2,5,2,1726754772.44
7.86605595611,1.2660443054,103.788727448,2,5,2,1726754772.5
7.86943955161,1.26604306199,103.788729366,2,5,2,1726754772.55
