altitude,latitude,longitude,Time (s)
9.34757651202,1.269058926,103.789297727,1714982276.9
9.34467254952,1.26905864862,103.789297567,1714982276.95
9.33881143387,1.26905835809,103.789297386,1714982277.04
9.34049670491,1.26905807355,103.789297184,1714982277.06
9.3425209811,1.26905778698,103.789297029,1714982277.11
9.33451804798,1.26905749236,103.789296889,1714982277.16
9.33805695176,1.26905722215,103.789296712,1714982277.22
9.34709345177,1.26905694998,103.789296495,1714982277.25
9.34675145242,1.26905665879,103.789296316,1714982277.31
9.34299978148,1.26905631619,103.789296164,1714982277.35
9.34895832743,1.26905603002,103.789295967,1714982277.4
9.35137530789,1.26905570249,103.789295779,1714982277.45
9.34911568183,1.2690554179,103.789295645,1714982277.51
9.34258410614,1.26905510211,103.789295476,1714982277.55
9.34062037989,1.26905477022,103.789295259,1714982277.61
9.34315083269,1.26905449556,103.789295056,1714982277.65
9.3417848181,1.26905425046,103.789294881,1714982277.7
9.34664422553,1.26905394258,103.789294694,1714982277.75
9.35391808022,1.26905361025,103.789294478,1714982277.8
9.34359525423,1.26905330271,103.789294299,1714982277.85
9.34337561298,1.26905298798,103.789294134,1714982277.9
9.34088227805,1.2690527109,103.789293979,1714982277.96
9.34086713195,1.26905243129,103.789293726,1714982278.03
9.3459302932,1.26905216621,103.789293517,1714982278.05
9.34615845513,1.26905183904,103.789293328,1714982278.1
9.34822687693,1.26905150451,103.78929314,1714982278.15
9.34555064142,1.2690511911,103.78929292,1714982278.21
9.33969947416,1.2690508996,103.789292718,1714982278.26
9.33692405093,1.26905060039,103.789292592,1714982278.3
9.34070733096,1.26905029853,103.789292411,1714982278.35
9.33726992551,1.26904999125,103.789292254,1714982278.43
9.34014398605,1.26904968454,103.789292072,1714982278.46
9.34479866456,1.26904933923,103.78929182,1714982278.5
9.34323425125,1.26904902023,103.789291593,1714982278.56
9.34475172684,1.26904868555,103.789291378,1714982278.6
9.34498361032,1.26904838331,103.78929121,1714982278.65
9.3389436435,1.26904807959,103.789291032,1714982278.7
9.33574226126,1.2690477575,103.789290853,1714982278.75
9.33920287527,1.2690474388,103.789290649,1714982278.82
9.34598421399,1.26904707414,103.789290421,1714982278.85
9.34439499956,1.26904676387,103.789290187,1714982278.9
9.34420226887,1.26904643392,103.789289982,1714982278.95
9.34632772952,1.26904612123,103.789289744,1714982279.04
