altitude,latitude,longitude,Time (s)
8.21291292645,2.94455960903,101.303766658,1734609277.18
8.21191354562,2.94455960992,101.303766659,1734609277.23
8.21398952976,2.94455961568,101.303766657,1734609277.27
8.21262446791,2.94455961122,101.303766662,1734609277.33
8.21304032858,2.94455961096,101.30376666,1734609277.37
8.21361922566,2.94455961413,101.303766658,1734609277.43
8.21622376051,2.94455963074,101.303766667,1734609277.47
8.22044252325,2.94455963297,101.303766677,1734609277.53
8.21892661043,2.94455963251,101.303766671,1734609277.58
8.21729782224,2.94455962696,101.303766668,1734609277.64
8.21880429983,2.94455962926,101.303766681,1734609277.68
8.22047051508,2.94455963082,101.303766665,1734609277.73
8.21929295454,2.94455962965,101.30376667,1734609277.78
8.21857889742,2.94455963171,101.303766675,1734609277.83
8.2190125538,2.94455962924,101.303766675,1734609277.88
8.21975370497,2.94455962473,101.303766667,1734609277.97
8.21835009661,2.9445596359,101.303766678,1734609277.98
8.22047383618,2.94455963309,101.303766684,1734609278.06
8.21869804524,2.94455963106,101.303766678,1734609278.08
8.21811961196,2.94455964038,101.303766674,1734609278.13
8.21960738022,2.94455963573,101.303766673,1734609278.2
8.21913148928,2.94455963461,101.303766678,1734609278.23
8.21945812926,2.94455963337,101.303766671,1734609278.29
8.2157557942,2.94455962863,101.303766676,1734609278.34
8.21669983864,2.94455963118,101.303766669,1734609278.38
8.21692395397,2.94455963039,101.303766673,1734609278.44
8.21330814064,2.94455961573,101.303766661,1734609278.48
8.21330598742,2.94455961402,101.303766662,1734609278.53
8.21163317375,2.9445596114,101.303766673,1734609278.59
8.21318221372,2.94455961317,101.303766672,1734609278.65
8.21252725739,2.94455961924,101.303766656,1734609278.67
8.21145147923,2.94455961133,101.30376666,1734609278.77
8.21113184933,2.94455961423,101.303766666,1734609278.78
8.21133652795,2.94455961548,101.303766658,1734609278.82
8.21179381944,2.94455961281,101.303766669,1734609278.89
8.21411852911,2.94455961753,101.303766668,1734609278.92
8.21197612863,2.94455961464,101.303766665,1734609278.97
8.2139400728,2.94455961744,101.303766667,1734609279.05
8.21557451971,2.94455962166,101.303766665,1734609279.08
8.21363922209,2.94455961911,101.303766666,1734609279.13
8.21597922686,2.94455962247,101.303766664,1734609279.17
8.2157382993,2.94455962554,101.303766675,1734609279.29
8.2141683111,2.94455962006,101.303766665,1734609279.34
8.21186888963,2.94455961778,101.303766667,1734609279.37
8.21179925557,2.94455961768,101.30376666,1734609279.44
8.21482555848,2.9445596146,101.303766671,1734609279.48
8.212879695,2.94455961597,101.30376666,1734609279.54
